location_id,trip_id,timestamp,latitude,longitude,speed_kmh,heading_deg,signal_quality
L0000000,T0015795,2024-10-01 01:52:00,51.623870123482035,0.1899166001910606,33.16582209936465,37.30121134898691,Good
L0000001,T0000860,2024-12-31 04:51:00,51.38797652093906,-0.01920275870646032,43.397992330742454,277.74888790792767,Good
L0000002,T0076820,2024-10-13 03:15:00,51.56016687219146,0.028337911564739082,44.90164862291103,283.7402162048036,Good
L0000003,T0054886,2024-12-17 04:53:00,51.58930164046288,-0.3738458713662588,35.45130904379024,264.02561807330824,Good
L0000004,T0006265,2024-11-27 02:51:00,51.339620813059106,-0.47078056514418737,29.592138146694897,263.0139824185657,Good
L0000005,T0037194,2024-11-23 23:48:00,51.646335462699035,-0.23403923914671582,50.26916043086839,238.18611540187516,Fair
L0000006,T0044131,2024-12-26 23:23:00,51.42784010007011,-0.06266500112255857,21.32441186346128,242.8047502170624,Good
L0000007,T0060263,2024-12-25 04:39:00,51.63456319422657,-0.2674098758325777,3.374153171047387,50.30785652787918,Good
L0000008,T0016023,2024-12-06 00:27:00,51.69106769175776,-0.00959420488289181,2.492389460581177,287.89618551102126,Good
L0000009,T0041090,2024-10-14 01:01:00,51.52763441090434,-0.4841491843392861,15.973486328085995,224.22889036036702,Good
L0000010,T0067221,2024-10-09 22:48:00,51.46632591324086,0.11075524562628536,9.706043008975644,29.153365380524537,Good
L0000011,T0064820,2024-10-05 00:10:00,51.55542679521284,-0.43836852244714897,0.18139637693159072,206.86192948325305,Good
L0000012,T0000769,2024-11-16 05:32:00,51.41368619026062,-0.44068540553610935,33.63652427194031,282.3841117549591,Good
L0000013,T0059735,2024-10-09 22:48:00,51.55214600602643,-0.08833891050040626,2.087240046524661,113.08202366462363,Good
L0000014,T0062955,2024-11-15 05:16:00,51.48473151119877,-0.09711282232903895,54.77471596631197,95.4002022513376,Good
L0000015,T0064925,2024-11-03 04:59:00,51.69162699693114,-0.06233085137775246,14.04256892465807,156.0151396083826,Good
L0000016,T0067969,2024-12-19 23:50:00,51.432112770815515,0.07448591616493028,56.195057127293325,276.55432341825195,Good
